OBJECT_NAME,NORAD_CAT_ID
SL-1 R/B,1
SPUTNIK 1,2
SPUTNIK 2,3
EXPLORER 1,4
VANGUARD 1,5
EXPLORER 3,6
SL-1 R/B,7
SPUTNIK 3,8
EXPLORER 4,9
SCORE,10
VANGUARD 2,11
VANGUARD R/B,12
DISCOVERER 1,13
DISCOVERER 2,14
EXPLORER 6,15
VANGUARD R/B,16
THOR ABLE R/B,17
DISCOVERER 5,18
DISCOVERER 6,19
VANGUARD 3,20
LUNA 3,21
EXPLORER 7,22
JUNO II R/B,23
DISCOVERER 7,24
DISCOVERER 8,25
DISCOVERER 5 CAPSULE,26
PIONEER 5,27
THOR ABLE R/B,28
TIROS 1,29
THOR ABLESTAR R/B,30
TRANSIT 1B,31
DISCOVERER 11,32
THOR ABLESTAR DEB,33
SPUTNIK 4,34
SL-3 R/B,35
SPUTNIK 4 CABIN,36
SPUTNIK 4 DEB,37
SPUTNIK 4 DEB,38
SPUTNIK 4 DEB,39
SPUTNIK 4 DEB,40
SPUTNIK 4 DEB,41
SPUTNIK 4 DEB,42
MIDAS 2,43
MIDAS 2 DEB,44
TRANSIT 2A,45
SOLRAD 1 (GREB),46
THOR ABLESTAR R/B,47
DISCOVERER 13,48
ECHO 1,49
DELTA 1 R/B,50
ECHO 1 DEB [METAL OBJ],51
ECHO 1 DEB [MYLAR OBJ],52
ECHO 1 DEB [METAL OBJ],53
DISCOVERER 14,54
SPUTNIK 5,55
SL-3 R/B,56
DISCOVERER 15,57
COURIER 1B,58
THOR ABLESTAR R/B,59
EXPLORER 8,60
DISCOVERER 17,61
JUNO II R/B,62
TIROS 2,63
DELTA 1 R/B,64
SPUTNIK 6,65
SL-3 R/B,66
DISCOVERER 18,67
DISCOVERER 19,68
JUNO II DEB,69
SAMOS 2,70
SPUTNIK 7,71
SL-6 R/B,72
SL-6 DEB,73
DELTA 1 DEB,74
DELTA 1 DEB,75
SL-6 R/B,76
SPUTNIK 8,77
SL-6 DEB,78
ATLAS AGENA A R/B,79
VENERA 1,80
EXPLORER 9,81
SCOUT X-1 R/B,82
DISCOVERER 20,83
DISCOVERER 21,84
SCOUT X-1 DEB,85
SCOUT X-1 DEB,86
TRANSIT 3B & LOFTI 1,87
DISCOVERER 20 DEB,88
DISCOVERER 20 DEB,89
DISCOVERER 20 DEB,90
SPUTNIK 9,91
SPUTNIK 9 DEB,92
SPUTNIK 9 DEB,93
SPUTNIK 9 DEB,94
SPUTNIK 10,95
SL-3 R/B,96
SL-3 DEB,97
EXPLORER 10,98
THOR ABLESTAR DEB,99
DISCOVERER 23,100
THOR ABLE DEB [YO],101
DISCOVERER 23 CAPSULE,102
VOSTOK 1,103
SL-3 R/B,104
JUNO II DEB,105
DISCOVERER 23 DEB,106
EXPLORER 11,107
DISCOVERER 25,108
DISCOVERER 25 DEB,109
PIONEER 1,110
PIONEER 3,111
LUNA 1,112
PIONEER 4,113
LUNA 2,114
THOR ABLE DEB [YO],115
TRANSIT 4A,116
SOLRAD 3 & INJUN 1,117
THOR ABLESTAR R/B,118
THOR ABLESTAR DEB,119
THOR ABLESTAR DEB,120
THOR ABLESTAR DEB,121
THOR ABLESTAR DEB,122
THOR ABLESTAR DEB,123
THOR ABLESTAR DEB,124
THOR ABLESTAR DEB,125
THOR ABLESTAR DEB,126
THOR ABLESTAR DEB,127
THOR ABLESTAR DEB,128
THOR ABLESTAR DEB,129
THOR ABLESTAR DEB,130
THOR ABLESTAR DEB,131
THOR ABLESTAR DEB,132
THOR ABLESTAR DEB,133
THOR ABLESTAR DEB,134
THOR ABLESTAR DEB,135
THOR ABLESTAR DEB,136
THOR ABLESTAR DEB,137
THOR ABLESTAR DEB,138
THOR ABLESTAR DEB,139
THOR ABLESTAR DEB,140
THOR ABLESTAR DEB,141
THOR ABLESTAR DEB,142
THOR ABLESTAR DEB,143
THOR ABLESTAR DEB,144
THOR ABLESTAR DEB,145
THOR ABLESTAR DEB,146
THOR ABLESTAR DEB,147
THOR ABLESTAR DEB,148
THOR ABLESTAR DEB,149
THOR ABLESTAR DEB,150
THOR ABLESTAR DEB,151
THOR ABLESTAR DEB,152
THOR ABLESTAR DEB,153
THOR ABLESTAR DEB,154
THOR ABLESTAR DEB,155
THOR ABLESTAR DEB,156
THOR ABLESTAR DEB,157
THOR ABLESTAR DEB,158
THOR ABLESTAR DEB,159
DISCOVERER 26,160
THOR ABLESTAR DEB,161
TIROS 3,162
MIDAS 3,163
MIDAS 3 DEB,164
DELTA 1 R/B,165
DELTA 1 DEB [YO],166
DELTA 1 DEB [YO],167
VOSTOK 2,168
SL-3 R/B,169
EXPLORER 12,170
THOR ABLESTAR DEB,171
THOR ABLESTAR DEB,172
RANGER 1,173
ATLAS AGENA B R/B,174
THOR ABLESTAR DEB,175
THOR ABLESTAR DEB,176
THOR ABLESTAR DEB,177
THOR ABLESTAR DEB,178
THOR ABLESTAR DEB,179
EXPLORER 13,180
DISCOVERER 29,181
DISCOVERER 30,182
MERCURY ATLAS 4,183
ATLAS D R/B,184
DISCOVERER 30 DEB,185
DISCOVERER 31,186
DISCOVERER 30 DEB,187
MIDAS 3 DEB,188
DISCOVERER 32,189
DISCOVERER 32 DEB,190
DISCOVERER 32 DEB,191
MIDAS 4,192
MIDAS 4 DEB [NOSECONE],193
MIDAS 4 DEB,194
MIDAS 4 DEB,195
MIDAS 3 DEB,196
DISCOVERER 34,197
DISCOVERER 34 DEB,198
DISCOVERER 34 DEB,199
DISCOVERER 34 DEB,200
DISCOVERER 35,201
TRANSIT 4B,202
DISCOVERER 34 DEB,203
THOR ABLESTAR R/B,204
TRAAC,205
RANGER 2,206
DISCOVERER 35 DEB,207
MERCURY ATLAS 5,208
ATLAS D 5 R/B,209
THOR ABLESTAR DEB,210
THOR ABLESTAR DEB,211
THOR ABLESTAR DEB,212
DISCOVERER 36,213
OSCAR 1,214
DISCOVERER 36 CAPSULE,215
THOR ABLESTAR DEB,216
SAMOS 5,217
ATLAS AGENA B R/B,218
SAMOS 5 DEB [REFLECTOR],219
THOR ABLESTAR DEB,220
RANGER 3,221
ATLAS AGENA B R/B,222
THOR ABLESTAR DEB,223
THOR ABLESTAR DEB,224
THOR ABLESTAR DEB,225
TIROS 4,226
DELTA 1 DEB [YO],227
DELTA 1 DEB [YO],228
DELTA 1 R/B,229
THOR ABLESTAR DEB,230
THOR ABLESTAR DEB,231
THOR ABLESTAR DEB,232
THOR ABLESTAR DEB,233
THOR ABLESTAR DEB,234
THOR ABLESTAR DEB,235
THOR ABLESTAR DEB,236
THOR ABLESTAR DEB,237
THOR ABLESTAR DEB,238
THOR ABLESTAR DEB,239
MERCURY ATLAS 6,240
ATLAS D R/B,241
FTV 2301,242
THOR ABLESTAR DEB,243
THOR ABLESTAR DEB,244
THOR ABLESTAR DEB,245
THOR ABLESTAR DEB,246
DISCOVERER 38,247
DISCOVERER 38 DEB,248
DISCOVERER 38 DEB,249
THOR ABLESTAR DEB,250
DISCOVERER 38 DEB,251
THOR ABLESTAR DEB,252
THOR ABLESTAR DEB,253
THOR ABLESTAR DEB,254
OSO 1,255
SAMOS 6,256
DELTA 1 R/B,257
SAMOS 6 DEB [REFLECTOR],258
ATLAS AGENA B R/B,259
THOR ABLESTAR DEB,260
THOR ABLESTAR DEB,261
THOR ABLESTAR DEB,262
THOR ABLESTAR DEB,263
THOR ABLESTAR DEB,264
THOR ABLESTAR DEB,265
COSMOS 1 (SPUTNIK 11),266
SL-7 R/B,267
THOR ABLESTAR DEB,268
COSMOS 2 (SPUTNIK 12),269
SL-7 R/B,270
MIDAS 5 (STRONGBACK),271
MIDAS 5 DEB,272
MIDAS 5 DEB,273
MIDAS 5 DEB,274
THOR ABLESTAR DEB,275
FTV 1154,276
FTV 1154 DEB,277
FTV 1154 DEB,278
FTV 1154 DEB,279
RANGER 4,280
COSMOS 3 (SPUTNIK 13),281
ATLAS AGENA B R/B,282
SL-7 R/B,283
SL-3 R/B,284
ARIEL 1 (UK-1),285
SAMOS 7 (FTV 2401),286
COSMOS 4 (SPUTNIK 14),287
DELTA 1 R/B,288
SL-3 DEB,289
FTV 1125,290
FTV 1125 DEB,291
FTV 1126,292
FTV 1126 DEB,293
FTV 1126 DEB,294
MERCURY ATLAS 7,295
ATLAS D 7 R/B,296
COSMOS 5 (SPUTNIK 15),297
SL-7 R/B,298
THOR ABLESTAR DEB,299
THOR ABLESTAR DEB,300
THOR ABLESTAR DEB,301
FTV 1128,302
FTV 1128 DEB,303
FTV 1127,304
OSCAR 2 (OSCAR II),305
FTV 1127 DEB,306
SAMOS 8 (FTV 2402),307
